CreationFinishDate,Artist,MediumMaterial,MediumDetail,Facility,CreditLine,AccessionNumber,DisplayTitle,DisplayDimensions,Media&Support,CurrentLocation,LocationDescription,StreetAddress,StreetAddress2,DistrictName,GeocodingSource,GeocodingAccuracy,GeocodingAccuracyType,Latitude,Longitude,point,SFFindNeighborhoods,CurrentPoliceDistricts,CurrentSupervisorDistricts,AnalysisNeighborhoods
2013,"Powell, Eric",Steel,Painted steel,Cayuga Playground,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Cayuga Playground,2013.6.a-b,Cayuga Portal,"12' x 14’ x 7"" (Main);  9' x 4’ x 2"" (Alameny)",Painted steel,Public Display,Park Entrances,"301 Naglee Ave, San Francisco, CA 94112",,District 11,Automation,1,parcel,37.714181,-122.450085,POINT (-122.450085 37.714180999999996),66,9,1,28
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.u,"Swimmer's Waves [column D, row 7]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Corliss, Troy",Steel,Forged and fabricated steel,Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.5,Noe Valley Natives,60 x 36 x 30 in.,Forged and fabricated steel,Public Display,Day St. West Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,"Corliss, Troy",Steel,Forged and fabricated steel,Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.2,Noe Valley Natives,60 x 36 x 36 in.,Forged and fabricated steel,Public Display,30Th St. Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.q,"Swimmer's Waves [column A, row 6]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1999,"Asawa, Ruth",Bronze,Bronze,Japantown,Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,1999.22.1-2,Origami Fountains,6 1/2' x 8' diam; 6 1/2' x 3 3/4' diam,Bronze on bricks,Public Display,Between Post And Sutter St.,"Buchanan St, San Francisco, CA 94115",,District 5,Automation,1,street_center,37.784668,-122.42962,POINT (-122.42962 37.784667999999996),101,4,11,39
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.p,"Swimmer's Waves [column G, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1971,"Voulkos, Peter",Bronze,Bronze,Hall of Justice,Collection of the City and County of San Francisco; Commissioned for the Hall of Justice,1967.82,Untitled,360  x 480 in.,Bronze,Public Display,West Corner Lawn,"7th St and Bryant St, San Francisco, CA 94103",,District 6,Automation,0.94,intersection,37.77428,-122.404748,POINT (-122.404748 37.77428),33,1,10,34
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.z,"Swimmer's Waves [column F, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Corliss, Troy",Steel,Forged and fabricated steel,Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.1,Noe Valley Natives,66 x 30 x 36 in.,Forged and fabricated steel,Public Display,30Th St. Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
1999,"Asawa, Ruth",Bronze,Bronze,Japantown,Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,1999.22.2,Origami Fountain,78 x 44 x 44 in.,Bronze on bricks,Public Display,Between Post And Sutter St.,"Buchanan St, San Francisco, CA 94115",,District 5,Automation,1,street_center,37.784668,-122.42962,POINT (-122.42962 37.784667999999996),101,4,11,39
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.c,"Swimmer's Waves [column D, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.aa,"Swimmer's Waves [column G, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.i,"Swimmer's Waves [column D, row 3]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.k,"Swimmer's Waves [column C, row 4]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2004,"Barr, Aileen",Ceramic Tile,"Hand-carved glazed ceramic tile, thin set, grout",West Portal Playground,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,2004.13.1,Secret Garden,14 x 420 in.,"Hand-carved glazed ceramic tile, thin set, grout on exterior wall",Public Display,Clubhouse Exterior,"Lenox Way and Ulloa St, San Francisco, CA 94127",,District 7,Automation,0.83,intersection,37.74241,-122.464993,POINT (-122.464993 37.74241),46,10,8,41
2008,"Corliss, Troy",Steel,Forged and fabricated steel,Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.4,Noe Valley Natives,36 x 18 x 24 in.,Forged and fabricated steel,Public Display,Day St. East Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
1993,"Riley, Cheryl","wood, Clay, Glass, Bone, Horn, Ceramic Beads, Gold Leaf","Maple, Clay, Glass, Bone, Horn, Ceramic Beads, Dutch gold leaf",SFPD   Bayview Station,"Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Bayview Police Station, and funded by the NEA and Susie Tompkins Buell Foundation",1998.6,On Target Podium,48  x 36  x 24 in.,"Maple, Clay, Glass, Bone, Horn, Ceramic Beads, Dutch gold leaf",City Agency,Community Room,"345 Williams Ave, San Francisco, CA 94124",,District 10,Automation,1,parcel,37.729806,-122.399247,POINT (-122.399247 37.729805999999996),86,2,9,1
1988,"Almeida, Peter",Ceramic Tile,Ceramic tile,Coleridge Mini Park,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Coleridge Street Mini Park,1988.2,Colloidal Pool,"36"" X 36""",Ceramic tile,Public Display,Sidewalk,"Coleridge St and Esmeralda Ave, San Francisco, CA 94110",,District 9,Automation,0.95,intersection,37.74406,-122.419491,POINT (-122.419491 37.74406),83,9,2,2
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.l,"Swimmer's Waves [column F, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Corliss, Troy",Steel,Forged and fabricated steel,Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.6,Noe Valley Natives,15 x 7 x 6 in.,Forged and fabricated steel,Public Display,Day St. West Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.n,"Swimmer's Waves [column D, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2004,"Barr, Aileen",Ceramic Tile,"Hand-carved glazed ceramic tile, thin set, grout",West Portal Playground,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,2004.13.3,Secret Garden,60 x 48 in.,"Hand-carved glazed ceramic tile, thin set, grout on concrete",Public Display,Clubhouse Exterior,"Lenox Way and Ulloa St, San Francisco, CA 94127",,District 7,Automation,0.83,intersection,37.74241,-122.464993,POINT (-122.464993 37.74241),46,10,8,41
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.o,"Swimmer's Waves [column E, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.f,"Swimmer's Waves [column E, row 2]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.v,"Swimmer's Waves [column F, row 7]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Corliss, Troy","Steel, Glass","Forged and fabricated steel, glass",Upper Noe Recreation Center,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,2008.13.3,Noe Valley Natives,108 x 51 x 51 in.,"Forged and fabricated steel, glass on concrete",Public Display,Playground Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.a,"Swimmer's Waves [column A, row 1]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.x,"Swimmer's Waves [column B, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.e,"Swimmer's Waves [column B, row 2]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.a-aa,Swimmer's Waves,224 x 645 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
,UNKNOWN,Bronze,Bronze,Hagiwara Tea Garden,Collection of the City and County of San Francisco; Gift of the estate of Michael Taylor,1993.1,Untitled [Deer],33 x 27 x 9 1/2 in.,Bronze,Public Display,,"75 Hagiwara Tea Garden Dr,",,District 1,Department Data,,,37.7701722,-122.4701557,POINT (-122.4701557 37.7701722),9,8,4,12
2004,"Barr, Aileen",Ceramic Tile,"Hand-carved glazed ceramic tile, thin set, grout",West Portal Playground,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,2004.13.2,Secret Garden,18 x 174 in.,"Hand-carved glazed ceramic tile, thin set, grout on exterior wall",Public Display,Clubhouse Exterior,"Lenox Way and Ulloa St, San Francisco, CA 94127",,District 7,Automation,0.83,intersection,37.74241,-122.464993,POINT (-122.464993 37.74241),46,10,8,41
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.j,"Swimmer's Waves [column B, row 4]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1999,"Asawa, Ruth",Bronze,Bronze,Japantown,Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,1999.22.1,Origami Fountain,78 x 96 x 96 in.,Bronze on bricks,Public Display,Between Post And Sutter St.,"Buchanan St, San Francisco, CA 94115",,District 5,Automation,1,street_center,37.784668,-122.42962,POINT (-122.42962 37.784667999999996),101,4,11,39
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.t,"Swimmer's Waves [column C, row 7]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.m,"Swimmer's Waves [column G, row 4]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1939,"Stackpole, Ralph",Granite,Granite,Assessor-Recorder Office,Collection of the City and County of San Francisco,1939.2,Edmund Godchaux (1849-1939),15 x 9 1/2 x 9 1/2 in.,Granite on marble,City Agency,,1 Dr. Carlton B. Goodlet Pl.,Room 190,District 6,Department Data,,,38.017438,-122.138582,POINT (-122.138582 38.017438),,,,
1984,"Fuller (McChesney), Mary",Concrete,Cast concrete,Chinatown Portsmouth Square,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission,1985.14.6,Dragon,12 x 15 x 315 in.,Cast concrete,Public Display,Lower Level Playground,"Clay St and Kearny St, San Francisco, CA 94108",,District 3,Automation,1,intersection,37.794453,-122.404796,POINT (-122.404796 37.794453),104,6,3,6
2000,"Hung, Su-Chen",Cast glass,Cast glass,International Terminal,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,2000.17,Welcome,,Cast glass,SFO,,Customs A/G,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
1999,"Gouveia (Rigo), Ricardo",Ceramic Tile,Hand cut ceramic tile,International Terminal,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco International Airport,1999.15,Thinking of Balmy Alley,,Hand cut ceramic tile,SFO,Departures,BA/G,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
,,,,,,,,,,,,", San Francisco, CA",,,,,,,,,,,,
,,,,,,,,,,,,", San Francisco, CA",,,,,,,,,,,,
,,,,,,,,,,,,", San Francisco, CA",,,,,,,,,,,,
2002,"Mangrum, Joe",Terrazzo,Terrazzo,Mission and 22nd St.,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for MUNI,2001.17,Layla,636  x 60 in.,Terrazzo,Public Display,,"SW corner, San Francisco, CA",,District 9,,,,,,,,,,
1940,"Volz, Herman",Stone tiles,Stone tiles,CCSF  Ocean Campus,Collection of the City and County of San Francisco; Works Progress Administration,1940.7.a,Education (Organic and Inorganic Science),600  x 540 in.,Stone tiles,Public Display,,"50 Phelan Ave, San Francisco, CA 94112",,District 7,Automation,1,range_interpolation,37.724311,-122.452194,POINT (-122.452194 37.724311),95,9,8,41
1982,"Eversley, Frederick",resin,resin,Secure Connector,Purchased by the San Francisco Art Commission for the San Francisco International Airport,1985.8.6,Untitled [Transparent],19 1/2 in. diameter x 2 in.,resin,SFO,Windows,Between T1 and T2,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
2003,"Gouveia (Rigo), Ricardo",Ceramic Tile,Ceramic tile,Mission and 23rd St.,Commissioned by the San Francisco Arts Commission for the MUNI Bus Bulb Improvement Project,,Mission 23,,Ceramic tile,Public Display,,"NE and SW corners, San Francisco, CA",,District 9,,,,,,,,,,
2017,"Shaw, Alice","ink, Gold Leaf",ink and gold leaf,International Terminal,Collection of the City and County of San Francisco,2017.1,No Other Lands Their Glory Know,213 x 301 1/2 in.,ink and gold leaf on plywood,SFO,Gate 95,BA/G,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
1982,"Eversley, Frederick",resin,resin,Secure Connector,Purchased by the San Francisco Art Commission for the San Francisco International Airport,1985.8.5,Untitled [Violet],19 1/2 in. diameter x 2 in.,resin,SFO,Windows,Between T1 and T2,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
2010,"Zoell, Bob",Frosted glass,Frosted glass,International Terminal,Collection of the City and County of San Francisco; Commissioned for the San Francisco International Airport,2010.3.1-26,BFILRYD,,Frosted glass,SFO,Connector Corridor,BA/G,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
2006,"deSoto, Lewis",Mixed media,Mixed media,International Terminal,,2006.7,"Shining Paths,San Francisco Sister Cities",variable,Mixed media,SFO,,BA/A and G,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
,Anonymous,Granite,Granite,San Francisco Botanical Garden,Gift from Gumps to the Recreation and Park Commission,1968.66,Unknown [Granite stupa],,Granite,Public Display,,"1199 9th Ave., San Francisco, CA",,District 1,,,,,,,,,,
2002,"Mangrum, Joe",Terrazzo,Terrazzo,Mission and 22nd St.,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for MUNI,2001.18,Swing Daddy,636 x 60 in.,Terrazzo,Public Display,,"NE corner, San Francisco, CA",,District 9,,,,,,,,,,
1974,"Fuller (McChesney), Mary",Cast Stone,Cast stone aggregate,San Francisco General Hospital,Collection of the City and County of San Francisco; Purchased by the San Francisco Art Commission for the San Francisco General Hospital,1975.3,Dos Liones,72  x 30  x 72 in.,Cast stone aggregate,City Agency,Main Building Third Floor West Courtyard,"1001 Portrero Avenue, San Francisco, CA",,District 10,,,,,,,,,,
2009,"deSoto, Lewis",Cotton,cotton thread tapestry,Laguna Honda Hospital,Collection of the City and County of San Francisco,2011.14.15,[Currently Untitled],,cotton thread tapestry,City Agency,Link Building Level 1,"375 Laguna Honda Blvd, San Francisco, CA 94131",,District 7,Automation,1,parcel,37.748644,-122.456145,POINT (-122.456145 37.748644),49,7,8,38
2006,"Margrill, Anita and Nagasawa, Nobuho",Steel,  steel,3rd Street Light Rail,Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,2007.31.2.a-d,Untitled (Canopy panels),60 x 108 x 144 in.,  steel,Public Display,Bayshore Blvd. And Sunnydale Ave.,"Bayshore Blvd. and Sunnydale Ave., San Francisco, CA",,District 10,,,,,,,,,,
2006,"Nagasawa, Nobuho, Margrill, Anita and Buchen, Bill and Mary",Steel,"Painted steel, stainless steel",3rd Street Light Rail,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,2007.6.1-2,Untitled (Third Street Light Rail Project),Light rail platform,"Painted steel, stainless steel on painted steel, concrete",Public Display,3Rd And Mission Rock St.,3rd and Mission Rock St.,,District 6,Department Data,,,37.7729306,"-122.3919976,17z",,,,,
